Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","185","Russian Federation","645","Food supply quantity (kg/capita/yr)","2943","Meat","2004","2004","kg","50","Fc","Calculated data"
"FBS","Food Balance Sheets","185","Russian Federation","645","Food supply quantity (kg/capita/yr)","2943","Meat","2005","2005","kg","52.11","Fc","Calculated data"
"FBS","Food Balance Sheets","185","Russian Federation","645","Food supply quantity (kg/capita/yr)","2943","Meat","2006","2006","kg","55.75","Fc","Calculated data"
"FBS","Food Balance Sheets","185","Russian Federation","645","Food supply quantity (kg/capita/yr)","2943","Meat","2007","2007","kg","60.12","Fc","Calculated data"
"FBS","Food Balance Sheets","185","Russian Federation","645","Food supply quantity (kg/capita/yr)","2943","Meat","2008","2008","kg","64.87","Fc","Calculated data"
"FBS","Food Balance Sheets","185","Russian Federation","645","Food supply quantity (kg/capita/yr)","2943","Meat","2009","2009","kg","63.74","Fc","Calculated data"
"FBS","Food Balance Sheets","185","Russian Federation","645","Food supply quantity (kg/capita/yr)","2943","Meat","2010","2010","kg","65.36","Fc","Calculated data"
"FBS","Food Balance Sheets","185","Russian Federation","645","Food supply quantity (kg/capita/yr)","2943","Meat","2011","2011","kg","66.25","Fc","Calculated data"
"FBS","Food Balance Sheets","185","Russian Federation","645","Food supply quantity (kg/capita/yr)","2943","Meat","2012","2012","kg","72.76","Fc","Calculated data"
"FBS","Food Balance Sheets","185","Russian Federation","645","Food supply quantity (kg/capita/yr)","2943","Meat","2013","2013","kg","74.82","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1961","1961","kg","88.65","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1962","1962","kg","89.45","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1963","1963","kg","92.61","Fc","Calculated data"
